UDI,Product Name,Type of Analysis,Instrument ID,Room Air temperature [K],Instrument temperature [K],Instrument Usage_hours,Runs_since_PM,Component_age_days,Days_since_last_PM,PM_overdue_flag,Room_temp_stability_issue,Power_fluctuation_flag,Minor_alarm_counts,Past_incidents_count,Date of Observation
1,Diazepam,Assay,UV Spec-11,298.1,308.6,396,301,511,164,0,0,0,5,1,12-01-2026
2,Ibuprofen,Dissolution,HPLC-6,298.2,308.7,864,14,838,58,0,0,0,9,5,06-01-2026
3,Ibuprofen,UV Spec,HPLC-2,298.1,308.5,1606,150,235,177,0,0,1,5,5,11-03-2026
4,Diazepam,Assay,HPLC-6,298.2,308.6,1849,491,607,58,0,0,0,7,5,29-01-2026
5,Atorvastatin,Dissolution,HPLC-2,298.2,308.7,1612,489,640,155,0,1,0,6,4,09-02-2026
6,Diclofenac,Dissolution,HPLC-4,298.1,308.6,1560,492,250,84,0,1,0,8,4,15-02-2026
7,Atorvastatin,Dissolution,HPLC-1,298.1,308.6,1435,455,531,89,1,0,0,3,1,13-01-2026
8,Clopidogrel,UV Spec,HPLC-2,298.1,308.6,1140,49,525,62,0,0,0,1,5,26-12-2025
9,Ibuprofen,Dissolution,UV Spec-4,298.3,308.7,1167,21,737,9,0,0,0,0,3,20-02-2026
10,Atorvastatin,Assay,IR-3,298.5,309,1616,272,148,156,0,0,0,4,4,28-01-2026
11,Clopidogrel,Relative Substance,Disso-6,298.4,308.9,585,324,47,171,0,0,0,9,4,22-12-2025
12,Ibuprofen,Relative Substance,IR-2,298.6,309.1,615,139,544,154,1,0,0,5,4,24-02-2026
13,Ibuprofen,Assay,UV Spec-9,298.6,309.1,725,270,246,162,0,0,0,0,0,25-02-2026
14,Atorvastatin,Assay,IR-2,298.6,309.2,1703,142,343,144,0,1,0,2,5,28-02-2026
15,Atorvastatin,Dissolution,HPLC-1,298.6,309.2,299,67,236,148,0,0,0,4,1,19-01-2026
16,Diazepam,Dissolution,UV Spec-9,298.6,309.2,898,70,21,169,0,0,0,2,1,08-01-2026
